=== Round Robin (Cryptojacking) ===
tick=00 procs=03 dispatch pid=1 grant_ms=10
tick=01 procs=03 dispatch pid=2 grant_ms=3
tick=02 procs=03 dispatch pid=2 grant_ms=3
tick=03 procs=03 dispatch pid=3 grant_ms=10
tick=04 procs=03 dispatch pid=2 grant_ms=3
tick=05 procs=03 dispatch pid=3 grant_ms=10
tick=06 procs=03 dispatch pid=2 grant_ms=3
tick=07 procs=03 dispatch pid=3 grant_ms=10
tick=08 procs=03 dispatch pid=2 grant_ms=3
tick=09 procs=03 dispatch pid=3 grant_ms=10
tick=10 procs=03 dispatch pid=1 grant_ms=10
tick=11 procs=03 dispatch pid=2 grant_ms=3
tick=12 procs=03 dispatch pid=2 grant_ms=3
tick=13 procs=03 dispatch pid=3 grant_ms=10
tick=14 procs=03 dispatch pid=2 grant_ms=3
tick=15 procs=03 dispatch pid=3 grant_ms=10
tick=16 procs=03 dispatch pid=2 grant_ms=3
tick=17 procs=03 dispatch pid=3 grant_ms=10
tick=18 procs=03 dispatch pid=2 grant_ms=3
tick=19 procs=03 dispatch pid=3 grant_ms=10
tick=20 procs=03 dispatch pid=1 grant_ms=10
tick=21 procs=03 dispatch pid=2 grant_ms=3
tick=22 procs=03 dispatch pid=2 grant_ms=3
tick=23 procs=03 dispatch pid=3 grant_ms=10
tick=24 procs=03 dispatch pid=2 grant_ms=3
tick=25 procs=03 dispatch pid=3 grant_ms=10
tick=26 procs=03 dispatch pid=2 grant_ms=3
tick=27 procs=03 dispatch pid=3 grant_ms=10
tick=28 procs=03 dispatch pid=2 grant_ms=3
tick=29 procs=03 dispatch pid=3 grant_ms=10
tick=30 procs=03 dispatch pid=1 grant_ms=10
tick=31 procs=03 dispatch pid=2 grant_ms=3
tick=32 procs=03 dispatch pid=2 grant_ms=3
tick=33 procs=03 dispatch pid=3 grant_ms=10
tick=34 procs=03 dispatch pid=2 grant_ms=3
tick=35 procs=03 dispatch pid=3 grant_ms=10
tick=36 procs=03 dispatch pid=2 grant_ms=3
tick=37 procs=03 dispatch pid=3 grant_ms=10
tick=38 procs=03 dispatch pid=2 grant_ms=3
tick=39 procs=03 dispatch pid=3 grant_ms=10
tick=40 procs=03 dispatch pid=1 grant_ms=10
tick=41 procs=03 dispatch pid=2 grant_ms=3
tick=42 procs=03 dispatch pid=2 grant_ms=3
tick=43 procs=03 dispatch pid=3 grant_ms=10
tick=44 procs=03 dispatch pid=2 grant_ms=3
tick=45 procs=03 dispatch pid=3 grant_ms=10
tick=46 procs=03 dispatch pid=2 grant_ms=3
tick=47 procs=03 dispatch pid=3 grant_ms=10
tick=48 procs=03 dispatch pid=2 grant_ms=3
tick=49 procs=03 dispatch pid=3 grant_ms=10
tick=50 procs=03 dispatch pid=1 grant_ms=10
tick=51 procs=03 dispatch pid=2 grant_ms=3
tick=52 procs=03 dispatch pid=2 grant_ms=3
tick=53 procs=03 dispatch pid=3 grant_ms=10
tick=54 procs=03 dispatch pid=2 grant_ms=3
tick=55 procs=03 dispatch pid=3 grant_ms=10
tick=56 procs=03 dispatch pid=2 grant_ms=3
tick=57 procs=03 dispatch pid=3 grant_ms=10
tick=58 procs=03 dispatch pid=2 grant_ms=3
tick=59 procs=03 dispatch pid=3 grant_ms=10
tick=60 procs=03 dispatch pid=1 grant_ms=10
tick=61 procs=03 dispatch pid=2 grant_ms=3
tick=62 procs=03 dispatch pid=2 grant_ms=3
tick=63 procs=03 dispatch pid=3 grant_ms=10
tick=64 procs=03 dispatch pid=2 grant_ms=3
tick=65 procs=03 dispatch pid=3 grant_ms=10
tick=66 procs=03 dispatch pid=2 grant_ms=3
tick=67 procs=03 dispatch pid=3 grant_ms=10
tick=68 procs=03 dispatch pid=2 grant_ms=3
tick=69 procs=03 dispatch pid=3 grant_ms=10
tick=70 procs=03 dispatch pid=1 grant_ms=10
tick=71 procs=03 dispatch pid=2 grant_ms=3
tick=72 procs=03 dispatch pid=2 grant_ms=3
tick=73 procs=03 dispatch pid=3 grant_ms=10
tick=74 procs=03 dispatch pid=2 grant_ms=3
tick=75 procs=03 dispatch pid=3 grant_ms=10
tick=76 procs=03 dispatch pid=2 grant_ms=3
tick=77 procs=03 dispatch pid=3 grant_ms=10
tick=78 procs=03 dispatch pid=2 grant_ms=3
tick=79 procs=03 dispatch pid=3 grant_ms=10
tick=80 procs=03 dispatch pid=1 grant_ms=10
tick=81 procs=03 dispatch pid=2 grant_ms=3
tick=82 procs=03 dispatch pid=2 grant_ms=3
tick=83 procs=03 dispatch pid=3 grant_ms=10
tick=84 procs=03 dispatch pid=2 grant_ms=3
tick=85 procs=03 dispatch pid=3 grant_ms=10
tick=86 procs=03 dispatch pid=2 grant_ms=3
tick=87 procs=03 dispatch pid=3 grant_ms=10
tick=88 procs=03 dispatch pid=2 grant_ms=3
tick=89 procs=03 dispatch pid=3 grant_ms=10
tick=90 procs=03 dispatch pid=1 grant_ms=10
tick=91 procs=03 dispatch pid=2 grant_ms=3
tick=92 procs=03 dispatch pid=2 grant_ms=3
tick=93 procs=03 dispatch pid=3 grant_ms=10
tick=94 procs=03 dispatch pid=2 grant_ms=3
tick=95 procs=03 dispatch pid=3 grant_ms=10
tick=96 procs=03 dispatch pid=2 grant_ms=3
tick=97 procs=03 dispatch pid=3 grant_ms=10
tick=98 procs=03 dispatch pid=2 grant_ms=3
tick=99 procs=03 dispatch pid=3 grant_ms=10
tick=100 procs=03 dispatch pid=1 grant_ms=10
tick=101 procs=03 dispatch pid=2 grant_ms=3
tick=102 procs=03 dispatch pid=2 grant_ms=3
tick=103 procs=03 dispatch pid=3 grant_ms=10
tick=104 procs=03 dispatch pid=2 grant_ms=3
tick=105 procs=03 dispatch pid=3 grant_ms=10
tick=106 procs=03 dispatch pid=2 grant_ms=3
tick=107 procs=03 dispatch pid=3 grant_ms=10
tick=108 procs=03 dispatch pid=2 grant_ms=3
tick=109 procs=03 dispatch pid=3 grant_ms=10
tick=110 procs=03 dispatch pid=1 grant_ms=10
tick=111 procs=03 dispatch pid=2 grant_ms=3
tick=112 procs=03 dispatch pid=2 grant_ms=3
tick=113 procs=03 dispatch pid=3 grant_ms=10
tick=114 procs=03 dispatch pid=2 grant_ms=3
tick=115 procs=03 dispatch pid=3 grant_ms=10
tick=116 procs=03 dispatch pid=2 grant_ms=3
tick=117 procs=03 dispatch pid=3 grant_ms=10
tick=118 procs=03 dispatch pid=2 grant_ms=3
tick=119 procs=03 dispatch pid=3 grant_ms=10
tick=120 procs=03 dispatch pid=1 grant_ms=10
