=== Market (Fork Bomb) ===
tick=00 procs=06 dispatch pid=1 grant_ms=10 budget=50 state=ACTIVE
tick=01 procs=09 dispatch pid=1 grant_ms=10 budget=40 state=ACTIVE
tick=02 procs=12 dispatch pid=3 grant_ms=5 budget=10 state=THROTTLED
tick=03 procs=13 dispatch pid=4 grant_ms=5 budget=5 state=THROTTLED
tick=04 procs=13 dispatch pid=5 grant_ms=5 budget=5 state=THROTTLED
tick=05 procs=13 dispatch pid=6 grant_ms=5 budget=5 state=THROTTLED
tick=06 procs=13 dispatch pid=7 grant_ms=5 budget=5 state=THROTTLED
tick=07 procs=13 dispatch pid=8 grant_ms=5 budget=5 state=THROTTLED
tick=08 procs=13 dispatch pid=9 grant_ms=5 budget=5 state=THROTTLED
tick=09 procs=13 dispatch pid=10 grant_ms=5 budget=5 state=THROTTLED
tick=10 procs=13 dispatch pid=1 grant_ms=10 budget=30 state=ACTIVE
tick=11 procs=13 dispatch pid=1 grant_ms=10 budget=20 state=ACTIVE
tick=12 procs=13 dispatch pid=11 grant_ms=5 budget=5 state=THROTTLED
tick=13 procs=13 dispatch pid=12 grant_ms=5 budget=5 state=THROTTLED
tick=14 procs=13 dispatch pid=13 grant_ms=5 budget=5 state=THROTTLED
tick=15 procs=13 dispatch pid=2 grant_ms=3 budget=57 state=ACTIVE
tick=16 procs=13 dispatch pid=2 grant_ms=3 budget=54 state=ACTIVE
tick=17 procs=13 dispatch pid=2 grant_ms=3 budget=51 state=ACTIVE
tick=18 procs=13 dispatch pid=2 grant_ms=3 budget=48 state=ACTIVE
tick=19 procs=13 dispatch pid=2 grant_ms=3 budget=45 state=ACTIVE
tick=20 procs=13 dispatch pid=1 grant_ms=10 budget=10 state=ACTIVE
tick=21 procs=13 dispatch pid=1 grant_ms=5 budget=5 state=THROTTLED
tick=22 procs=13 dispatch pid=2 grant_ms=3 budget=42 state=ACTIVE
tick=23 procs=13 dispatch pid=2 grant_ms=3 budget=39 state=ACTIVE
tick=24 procs=13 dispatch pid=2 grant_ms=3 budget=36 state=ACTIVE
tick=25 procs=13 dispatch pid=2 grant_ms=3 budget=33 state=ACTIVE
tick=26 procs=13 dispatch pid=2 grant_ms=3 budget=30 state=ACTIVE
tick=27 procs=13 dispatch pid=2 grant_ms=3 budget=27 state=ACTIVE
tick=28 procs=13 dispatch pid=2 grant_ms=3 budget=24 state=ACTIVE
tick=29 procs=13 dispatch pid=2 grant_ms=3 budget=21 state=ACTIVE
tick=30 procs=13 dispatch pid=2 grant_ms=3 budget=18 state=ACTIVE
tick=31 procs=13 dispatch pid=2 grant_ms=3 budget=15 state=ACTIVE
tick=32 procs=13 dispatch pid=4 grant_ms=2 budget=3 state=THROTTLED
tick=33 procs=13 dispatch pid=5 grant_ms=2 budget=3 state=THROTTLED
tick=34 procs=13 dispatch pid=6 grant_ms=2 budget=3 state=THROTTLED
tick=35 procs=13 dispatch pid=7 grant_ms=2 budget=3 state=THROTTLED
tick=36 procs=13 dispatch pid=8 grant_ms=2 budget=3 state=THROTTLED
tick=37 procs=13 dispatch pid=9 grant_ms=2 budget=3 state=THROTTLED
tick=38 procs=13 dispatch pid=10 grant_ms=2 budget=3 state=THROTTLED
tick=39 procs=13 dispatch pid=11 grant_ms=2 budget=3 state=THROTTLED
tick=40 procs=13 dispatch pid=1 grant_ms=2 budget=3 state=THROTTLED
tick=41 procs=13 dispatch pid=12 grant_ms=2 budget=3 state=THROTTLED
